reporter_id,q_mode,method_id,forecast_cv,gamma_from,gamma_to,own_delivery_increment_kw,outside_delivery_decrement_kw,feeder_delivery_increment_kw,idle_award_increment_kw,stepwise_consequence_equivalent_ratio
p001,Q95,equal_kw_reduction,0.2,1.1,1.2,1.7366878724522916,3.5091536694964454,-1.7724657970441537,1.7083103640675028,2.054166352501145
p001,Q95,equal_kw_reduction,0.2,1.2,1.3,1.0711290119991002,3.8688140931597284,-2.797685081160628,2.356483826398019,1.6417740914748256
p001,Q95,equal_kw_reduction,0.2,1.3,1.4,0.7423589891084464,4.236387471024935,-3.494028481916489,2.6674859518691987,1.5881573689474742
p001,Q95,equal_kw_reduction,0.2,1.4,1.5,0.21197627087087695,4.613409029240116,-4.401432758369239,3.1796440630631264,1.4509199576243652
p001,Q95,equal_kw_reduction,0.2,1.5,1.6,0.008438090392359765,0.1921465915439291,-0.18370850115156934,0.12657135588536872,1.518089066833965
p001,Q95,equal_kw_reduction,0.3,1.0,1.1,2.38017205605285,3.0511310966446286,-0.6709590405917787,1.0818963891149336,2.820169405631038
p001,Q95,equal_kw_reduction,0.3,1.1,1.2,1.7366878724522952,3.392535269603817,-1.655847397151522,1.7083103640674995,1.985901005439179
p001,Q95,equal_kw_reduction,0.3,1.2,1.3,1.0711290119991002,3.7402432320576553,-2.669114220058555,2.356483826398019,1.5872136231780416
p001,Q95,equal_kw_reduction,0.3,1.3,1.4,1.0655765440555145,4.105162416710363,-3.0395858726548486,2.3442683969221307,1.7511486407017942
p001,Q95,equal_kw_reduction,0.3,1.4,1.5,0.7924149659238113,4.474031112949035,-3.681616147025224,2.599205368010192,1.7213072764519974
p001,Q95,equal_kw_reduction,0.3,1.5,1.6,0.008438090392359765,0.18634155856672718,-0.17790346817436742,0.12657135588536872,1.4722253488023804
p001,Q95,fairness_qp,0.0,1.3,1.4,0.34760400269403385,3.099109299358936,-2.7515052966649023,1.5706301267987208,1.9731630295896476
p001,Q95,fairness_qp,0.05,1.1,1.2,2.181199198749373,3.173627479816532,-0.9924282810671592,0.0735462321518332,43.15146251496212
p001,Q95,fairness_qp,0.05,1.2,1.3,1.5947115783703156,3.1583618286345967,-1.5636502502642813,0.49556970450628096,6.373193921894729
p001,Q95,fairness_qp,0.05,1.3,1.4,0.729799666476745,3.0821410588687885,-2.3523413923920433,1.1884344630160095,2.593446382434021
p001,Q95,fairness_qp,0.05,1.4,1.5,0.1681525032223019,2.9550019264637797,-2.7868494232414776,1.5755580555293636,1.875527160737307
p001,Q95,fairness_qp,0.05,1.5,1.6,0.018767769653101063,2.7886490319011874,-2.769881262248086,1.5526290874677966,1.7960819196355724
p001,Q95,fairness_qp,0.1,1.0,1.1,2.256197208461947,2.8812139308752767,-0.6250167224133296,0.15041314723079208,19.155333053794678
p001,Q95,fairness_qp,0.1,1.1,1.2,1.8196389128625339,2.9695731289750698,-1.1499342161125359,0.43510651803867206,6.824933679139083
p001,Q95,fairness_qp,0.1,1.2,1.3,1.4370683819776644,2.9706766146316914,-1.5336082326540268,0.653212900898932,4.547792320916404
p001,Q95,fairness_qp,0.1,1.3,1.4,0.729799666476745,2.8983302853064568,-2.1685306188297115,1.1884344630160095,2.4387800720210286
p001,Q95,fairness_qp,0.1,1.4,1.5,0.5449095496098955,2.7783356328043296,-2.233426083194434,1.19880100914177,2.317595340358747
p001,Q95,fairness_qp,0.1,1.5,1.6,0.17328338218246253,2.621638050574013,-2.4483546683915502,1.3981134749384352,1.8751253725592298
p001,Q95,fairness_qp,0.1,1.6,1.7,0.08782404007895428,2.4394378751999013,-2.351613835120947,1.3173606011843142,1.8517616763449838
p001,Q95,fairness_qp,0.1,1.7,1.8,0.058645488504087406,2.2421442650553054,-2.183498776551218,1.1893408154445493,1.885199125380425
p001,Q95,fairness_qp,0.2,1.0,1.1,1.6545446195387614,2.2147972729734953,-0.5602526534347341,0.7520657361539778,2.944951706349295
p001,Q95,fairness_qp,0.2,1.1,1.2,1.5501374837445756,2.38148983415434,-0.8313523504097642,0.7046079471566303,3.379879326886088
p001,Q95,fairness_qp,0.2,1.2,1.3,1.4370683819776575,2.433715458336372,-0.9966470763587143,0.653212900898939,3.7257614707044815
p001,Q95,fairness_qp,0.2,1.3,1.4,0.729799666476752,2.373790737204742,-1.6439910707279903,1.1884344630160026,1.9974098791956512
p001,Q95,fairness_qp,0.2,1.4,1.5,0.5449095496098955,2.275072361417496,-1.7301628118076007,1.19880100914177,1.8977898283938184
p001,Q95,fairness_qp,0.2,1.5,1.6,0.4910615178502775,2.1464727841326026,-1.655411266282325,1.0803353392706203,1.9868578820922183
p001,Q95,fairness_qp,0.2,1.6,1.7,0.4391202003947714,1.9971166636473803,-1.5579964632526089,0.9660644408684971,2.0672706489972468
p001,Q95,fairness_qp,0.2,1.7,1.8,0.3125810980131524,1.835494023145777,-1.5229129251326246,0.9354052059354843,1.962244823418668
p001,Q95,fairness_qp,0.2,1.8,1.9,0.06885910610075069,1.6689041637892656,-1.600045057688515,1.0328865915111978,1.6157670914747009
p001,Q95,fairness_qp,0.2,1.9,2.0,0.06046736449057816,1.5031258551731694,-1.4426584906825912,0.9070104673586932,1.657230990454195
