Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M03,2013-01-21,ECF,4.157500237647014,4.4119800746208035,0.25447983697379034,-0.649847131839089,13
M03,2013-01-21,Equal-total control,4.120746869935958,4.393367003528125,0.27262013359216625,-0.6860688207871654,0
M03,2013-01-22,No feedback,3.443074202999087,4.2762833880423505,0.8332091850432635,-2.158636938281382,0
M03,2013-01-22,Previous-day persistence,3.0685281711328463,3.7757237046478718,0.7071955335150255,-2.5319762521673264,0
M03,2013-01-22,ECF,3.516890703939791,4.39503909269501,0.8781483887552192,-2.0854641385499337,16
M03,2013-01-22,Equal-total control,3.443016958849721,4.271623373060171,0.8286064142104506,-2.158694449409125,0
M03,2013-01-23,No feedback,3.3915347102490934,3.9764130655830625,0.5848783553339685,-1.3792363206447662,0
M03,2013-01-23,Previous-day persistence,2.899294695591294,3.228977293639006,0.32968259804771194,-1.869701265803964,0
M03,2013-01-23,ECF,3.3812301563244764,3.960129898664805,0.5788997423403289,-1.389470383522075,6
M03,2013-01-23,Equal-total control,3.3915226670890037,3.976401068182626,0.584878401093622,-1.379248229998938,0
M03,2013-01-24,No feedback,3.832866305773716,4.082428854355634,0.24956254858191848,-1.1243514208025673,0
M03,2013-01-24,Previous-day persistence,3.3020867641088696,3.4041820497988495,0.10209528568998007,-1.6548375308256627,0
M03,2013-01-24,ECF,3.9785933786828998,4.213722101504997,0.2351287228220973,-0.9802484044285337,14
M03,2013-01-24,Equal-total control,3.8322692293065597,4.081670214206169,0.24940098489960938,-1.1249441207298692,0
M03,2013-01-25,No feedback,3.802496521064632,3.9853999669559377,0.18290344589130506,-2.164272916737713,0
M03,2013-01-25,Previous-day persistence,3.2134375708482557,3.3155380861538823,0.10210051530562608,-2.74989452111581,0
M03,2013-01-25,ECF,3.851077220974757,4.021554522948308,0.17047730197355132,-2.116297590334618,11
M03,2013-01-25,Equal-total control,3.8025033611166634,3.9854068327447596,0.1829034716280962,-2.164266211267012,0
M03,2013-04-02,No feedback,3.4206139134238986,3.877054486387116,0.45644057296321794,-1.2930314687674744,0
M03,2013-04-02,Previous-day persistence,2.8397177769128787,2.90998555350623,0.0702677765933513,-1.8700053910982561,0
M03,2013-04-02,ECF,3.435575910200756,3.8884637576826675,0.45288784748191147,-1.2782554578625422,8
M03,2013-04-02,Equal-total control,3.420609671693535,3.8770494425641395,0.45643977087060483,-1.2930356931327434,0
M03,2013-04-03,No feedback,2.144690183564326,4.1721904191318835,2.0275002355675573,-2.9320667417558828,0
M03,2013-04-03,Previous-day persistence,1.9923166638271337,3.533463131550499,1.5411464677233655,-3.083285346359444,0
M03,2013-04-03,ECF,2.1543328433792643,4.077992259506954,1.923659416127689,-2.922522506676129,5
M03,2013-04-03,Equal-total control,2.1446959638695104,4.16888113648808,2.0241851726185693,-2.9320610236084708,0
M03,2013-04-04,No feedback,2.8011698172979065,3.8712180659987117,1.0700482487008052,-2.335616091861833,0
M03,2013-04-04,Previous-day persistence,1.7312694636452104,1.9514113556294073,0.22014189198419715,-3.400932388866057,0
M03,2013-04-04,ECF,2.773969207773908,3.7742338743219435,1.0002646665480353,-2.3627201376469293,12
M03,2013-04-04,Equal-total control,2.8011675937354337,3.87121716894117,1.0700495752057364,-2.3356182878042326,0
M03,2013-04-09,No feedback,2.941682564894415,4.039618381620678,1.0979358167262636,-2.049594334618313,0
M03,2013-04-09,Previous-day persistence,2.691997732500533,3.1973771906752892,0.5053794581747558,-2.298398416482058,0
