reporter_id,reporter_bus_id,gamma,q_mode,method_id,matched_q_pair_pass,reference_total_export_mw,reported_total_export_mw,total_export_change_mw,redistribution_mw,reporter_access_gain_mw,other_participant_access_loss_mw,reported_maximum_loading_ratio,reported_minimum_voltage_pu
p023,52,1.4,Q95,equal_kw_reduction,1,1.612487277003052,1.6062404863738597,-0.006246790629192311,0.016867919775658442,0.013744524461062342,0.019991315090254543,0.9090909048675102,0.956123244658032
p023,52,1.4,Q95,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909101921024,0.9542957831752259
p023,52,1.4,Q95,max_export_lp,1,1.6572322873433465,1.657232287256178,-8.716849464462939e-11,3.681245311197307e-08,0.0,2.1055810765086003e-08,0.9090909150993329,0.956265611679483
p023,52,1.4,Q95,fairness_qp,1,1.5948810871865815,1.5909474988353036,-0.0039335883512778835,0.010635778464855389,0.00866898428921642,0.012602572640494358,0.9090909061007219,0.9560657319449787
p023,52,1.5,Q0,weighted_proportional,1,1.5070032969994482,1.491643068801832,-0.015360228197616177,0.022145308390491527,0.01446519429168339,0.029825422489299664,0.9090909094106537,0.957248448214485
p023,52,1.5,Q0,equal_kw_reduction,1,1.612487277003052,1.603387976057946,-0.009099300945106137,0.02168579526754937,0.017136144794996346,0.026235445740102392,0.9090909114976682,0.9578281815222722
p023,52,1.5,Q0,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909023834266,0.9554346612863354
p023,52,1.5,Q0,max_export_lp,1,1.6572322875094938,1.6572322870078702,-5.016236315213973e-10,1.6955544450072838e-07,0.0,9.556078419108854e-08,0.9090909025853429,0.958005803986059
p023,52,1.5,Q0,fairness_qp,1,1.5948810760742278,1.5897201234773577,-0.005160952596870105,0.012992709200651828,0.010412232902216784,0.015573185499086872,0.9090909041764718,0.9577501104938164
p023,52,1.5,Q95,weighted_proportional,1,1.5070032970001674,1.4916430688163476,-0.01536022818381988,0.022145308384019083,0.014465194292109157,0.02982542247592901,0.9090909011667337,0.9556856230368136
p023,52,1.5,Q95,equal_kw_reduction,1,1.612487277003052,1.603387976057946,-0.009099300945106137,0.02168579526754937,0.017136144794996346,0.026235445740102392,0.9090909065729831,0.9561297193641976
p023,52,1.5,Q95,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909101921024,0.9542957831752259
p023,52,1.5,Q95,max_export_lp,1,1.6572322873433465,1.6572322870495058,-2.9384072952609586e-10,9.963136511322631e-08,0.0,5.317268144885978e-08,0.9090908923219495,0.9562656114129581
p023,52,1.5,Q95,fairness_qp,1,1.5948810871865815,1.5897201227978341,-0.005160964388747358,0.012992718620025582,0.010412236425617831,0.015573200814399248,0.9090908941906614,0.9560697368510226
p023,52,1.6,Q0,weighted_proportional,1,1.5070032969994482,1.4873017412757514,-0.019701555723696806,0.027095755930094435,0.017244978068246004,0.03694653379194286,0.9090909093135147,0.9572445799794065
p023,52,1.6,Q0,equal_kw_reduction,1,1.612487277003052,1.6032629200268471,-0.00922435697620494,0.021883332729376568,0.017271154241274074,0.026495511217479062,0.9090909095415407,0.9578284715810959
p023,52,1.6,Q0,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909023834266,0.9554346612863354
p023,52,1.6,Q0,max_export_lp,1,1.6572322875094938,1.657232287034657,-4.748368365170563e-10,1.6042207886775902e-07,0.0,9.036071227158313e-08,0.909090902648615,0.9580058040025692
p023,52,1.6,Q0,fairness_qp,1,1.5948810760742278,1.5884877962771289,-0.006393279797098916,0.015179750423925262,0.011983110525375828,0.018376390322474692,0.9090909004192227,0.9577543065417166
p023,52,1.6,Q95,weighted_proportional,1,1.5070032970001674,1.4873017412819804,-0.01970155571818699,0.027095755927526086,0.017244978068432525,0.03694653378661965,0.909090909757548,0.9556826889699129
p023,52,1.6,Q95,equal_kw_reduction,1,1.612487277003052,1.6032629200268471,-0.00922435697620494,0.021883332729376568,0.017271154241274074,0.026495511217479062,0.9090908989844421,0.9561299429741165
p023,52,1.6,Q95,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909101921024,0.9542957831752259
p023,52,1.6,Q95,max_export_lp,1,1.6572322873433465,1.6572322872186478,-1.246986958136631e-10,4.4526835553740374e-08,0.0,2.1317699151063296e-08,0.9090908924396317,0.9562656116368606
