Behavior,Control,Seed,Date,Contiguous block,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Failed observed intervals,Failed replay intervals
No preference update,No feedback,2003,2013-01-20,2,3.719538533998045,2.434369303523238,1.2851692304748068,-2.416142294504246,0,0,0
No preference update,ECF,2003,2013-01-20,2,3.7008089572406777,2.4674351340916423,1.2333738231490354,-2.3835204756878783,6,0,0
No preference update,Same update without qualification,2003,2013-01-20,2,3.412735014793722,2.3546581323550932,1.0580768824386289,-2.4956688320883242,0,0,0
No preference update,Equal-total shadow,2003,2013-01-20,2,3.7195554262093014,2.434375981631433,1.2851794445778686,-2.4161356686163873,0,0,0
No preference update,No feedback,2003,2013-01-21,2,3.9959947905599047,3.647648304520174,0.34834648603973045,-1.1598261620548211,0,0,0
No preference update,ECF,2003,2013-01-21,2,3.9979990891446677,3.657829865544949,0.34016922359971885,-1.149866791774855,12,0,0
No preference update,Same update without qualification,2003,2013-01-21,2,3.9446140341601144,3.6798342002272695,0.2647798339328454,-1.1285152201831175,0,0,0
No preference update,Equal-total shadow,2003,2013-01-21,2,3.995999509645751,3.6476542033166,0.3483453063291506,-1.1598203062370365,0,0,0
No preference update,No feedback,2003,2013-01-22,2,3.7220849197155483,3.0743086982135583,0.6477762215019899,-2.5282619102150923,0,0,0
No preference update,ECF,2003,2013-01-22,2,3.8841851706569286,3.080706585648886,0.8034785850080424,-2.5218225196607453,10,0,0
No preference update,Same update without qualification,2003,2013-01-22,2,3.6897042654506835,3.0124759770748852,0.6772282883757985,-2.5897790560792373,0,0,0
No preference update,Equal-total shadow,2003,2013-01-22,2,3.722112881035529,3.0743311208949935,0.6477817601405356,-2.5282396928101574,0,0,0
No preference update,No feedback,2003,2013-01-23,2,4.074907170551349,3.2039541212735827,0.8709530492777657,-1.567248675899388,0,0,0
No preference update,ECF,2003,2013-01-23,2,3.9623820440348223,3.1929382930963692,0.7694437509384531,-1.5782431773923165,8,0,0
No preference update,Same update without qualification,2003,2013-01-23,2,3.7597048364482735,3.1466376543355037,0.6130671821127699,-1.6244533316407592,0,0,0
No preference update,Equal-total shadow,2003,2013-01-23,2,4.0748977274609235,3.203942996386275,0.8709547310746492,-1.5672596928433977,0,0,0
No preference update,No feedback,2003,2013-01-24,2,3.9736468391901507,3.494483661228618,0.479163177961533,-1.4620017974925543,0,0,0
No preference update,ECF,2003,2013-01-24,2,3.940430110054667,3.48901188581386,0.45141822424080635,-1.4671018118757515,7,0,0
No preference update,Same update without qualification,2003,2013-01-24,2,3.8166982035783605,3.4517962571870413,0.36490194639131934,-1.503807715379309,0,0,0
No preference update,Equal-total shadow,2003,2013-01-24,2,3.9736389634335008,3.4944768426773476,0.4791621207561534,-1.4620085554040092,0,0,0
No preference update,No feedback,2003,2013-01-25,2,4.222161226323518,3.988615539055584,0.23354568726793423,-1.9822332459325975,0,0,0
No preference update,ECF,2003,2013-01-25,2,4.239973707195068,4.013274485134555,0.22669922206051313,-1.9579455197520672,10,0,0
No preference update,Same update without qualification,2003,2013-01-25,2,4.221649789309594,4.027546243094847,0.19410354621474615,-1.9440187438903165,0,0,0
No preference update,Equal-total shadow,2003,2013-01-25,2,4.222164276867451,3.988619066575244,0.23354521029220715,-1.9822297712818724,0,0,0
No preference update,No feedback,2003,2013-04-02,3,3.7742391566630964,3.2772914783155986,0.4969476783474975,-1.438461620739997,0,0,0
No preference update,ECF,2003,2013-04-02,3,3.753448986240155,3.258051632579309,0.4953973536608459,-1.457454026736951,7,0,0
No preference update,Same update without qualification,2003,2013-04-02,3,3.62992411327726,3.196839493080793,0.4330846201964674,-1.5182726736320091,0,0,0
No preference update,Equal-total shadow,2003,2013-04-02,3,3.7742445597647873,3.2772965329725854,0.496948026792202,-1.4384565936500053,0,0,0
No preference update,No feedback,2003,2013-04-03,3,4.063626037059347,1.9998704721602745,2.063755564899073,-3.07727683045674,0,0,0
No preference update,ECF,2003,2013-04-03,3,3.872265075593614,2.027852090389495,1.844412985204119,-3.049754987693493,8,0,0
No preference update,Same update without qualification,2003,2013-04-03,3,3.2308497585817064,1.8462355683688725,1.384614190212834,-3.2302478809867265,0,0,0
No preference update,Equal-total shadow,2003,2013-04-03,3,4.0619356688389034,1.999884245058832,2.0620514237800713,-3.0772631809845388,0,0,0
No preference update,No feedback,2003,2013-04-04,3,3.9628010221737773,2.6404127056775653,1.3223883164962125,-2.497607517259647,0,0,0
No preference update,ECF,2003,2013-04-04,3,3.926864295110136,2.6430217062830406,1.2838425888270955,-2.494849566815795,5,0,0
No preference update,Same update without qualification,2003,2013-04-04,3,3.547113427678224,2.541818104646873,1.0052953230313508,-2.595498661086128,0,0,0
No preference update,Equal-total shadow,2003,2013-04-04,3,3.962796538870305,2.640411127705198,1.3223854111651068,-2.4976090853446173,0,0,0
No preference update,No feedback,2003,2013-04-09,4,3.6746129610897755,2.723762104440726,0.9508508566490494,-2.268257403657587,0,0,0
No preference update,ECF,2003,2013-04-09,4,3.768619827100242,2.8379006476173188,0.9307191794829228,-2.1557044099902245,9,0,0
No preference update,Same update without qualification,2003,2013-04-09,4,3.714968420788698,2.9211473486245723,0.7938210721641259,-2.0734587360508887,0,0,0
No preference update,Equal-total shadow,2003,2013-04-09,4,3.674647615418977,2.7237926657555827,0.950854949663394,-2.2682272099454734,0,0,0
No preference update,No feedback,2003,2013-04-10,4,4.095118171365311,3.432780026805412,0.6623381445598981,-1.478391089639633,0,0,0
No preference update,ECF,2003,2013-04-10,4,4.089902686230866,3.4302982909663053,0.6596043952645606,-1.4808513180627132,7,0,0
No preference update,Same update without qualification,2003,2013-04-10,4,4.018190381026593,3.4233499525680604,0.5948404284585331,-1.4877819111254116,0,0,0
No preference update,Equal-total shadow,2003,2013-04-10,4,4.095096352547829,3.4327596047499496,0.6623367477978789,-1.4784112716969688,0,0,0
No preference update,No feedback,2003,2013-04-14,5,3.909683289327087,3.3291430329926337,0.5805402563344533,-1.628956399185314,0,0,0
No preference update,ECF,2003,2013-04-14,5,3.8728552498168543,3.2952512980924227,0.5776039517244317,-1.662390045057919,6,0,0
No preference update,Same update without qualification,2003,2013-04-14,5,3.811259688615054,3.2746887219949827,0.5365709666200715,-1.6827263941292814,0,0,0
No preference update,Equal-total shadow,2003,2013-04-14,5,3.9096726898059417,3.3291324504879287,0.5805402393180131,-1.6289669083662253,0,0,0
No preference update,No feedback,2003,2013-04-15,5,3.7974598730989104,3.037811187097868,0.7596486860010428,-1.9221188452563462,0,0,0
No preference update,ECF,2003,2013-04-15,5,3.8063695779836437,3.061720942648539,0.7446486353351043,-1.8984749845379625,9,0,0
No preference update,Same update without qualification,2003,2013-04-15,5,3.7654702537982736,3.056976684481507,0.7084935693167663,-1.9030261177469214,0,0,0
No preference update,Equal-total shadow,2003,2013-04-15,5,3.7974587726188225,3.0378119123740377,0.7596468602447849,-1.9221180989080477,0,0,0
No preference update,No feedback,2003,2013-04-22,6,3.900550051491628,2.7657217189634653,1.1348283325281627,-2.688092267794372,0,0,0
No preference update,ECF,2003,2013-04-22,6,3.8795303262148706,2.770001340145837,1.1095289860690336,-2.6837184597951595,4,0,0
No preference update,Same update without qualification,2003,2013-04-22,6,3.695755233066407,2.6438148773511556,1.0519403557152514,-2.8086799703795164,0,0,0
No preference update,Equal-total shadow,2003,2013-04-22,6,3.9005648015788927,2.765735737783256,1.134829063795637,-2.6880784418621757,0,0,0
No preference update,No feedback,2003,2013-04-28,7,3.92124303494745,3.2195597715548807,0.7016832633925688,-2.018830350975,0,0,0
No preference update,ECF,2003,2013-04-28,7,3.9267466004707723,3.2226756669152388,0.7040709335555333,-2.015694349299705,6,0,0
No preference update,Same update without qualification,2003,2013-04-28,7,3.763174709981209,3.1245250124931316,0.6386496974880778,-2.1128019189307787,0,0,0
No preference update,Equal-total shadow,2003,2013-04-28,7,3.921249811636747,3.2195661101514994,0.7016837014852476,-2.0188241922532697,0,0,0
No preference update,No feedback,2003,2013-04-29,7,4.133120777630123,3.4254735775745204,0.7076472000556023,-1.60426701121185,0,0,0
No preference update,ECF,2003,2013-04-29,7,4.119233647259141,3.4125063026285125,0.7067273446306279,-1.6170312638960196,6,0,0
No preference update,Same update without qualification,2003,2013-04-29,7,3.976296955051773,3.3178387028993788,0.6584582521523941,-1.7106286845203593,0,0,0
No preference update,Equal-total shadow,2003,2013-04-29,7,4.133122850303139,3.4254748021067396,0.7076480481963994,-1.604265816792444,0,0,0
No preference update,No feedback,2003,2013-04-30,7,3.73961915607909,2.611611772015142,1.1280073840639482,-2.429782118038228,0,0,0
No preference update,ECF,2003,2013-04-30,7,3.7807691692362506,2.664889320069451,1.1158798491667994,-2.3770971569436368,7,0,0
No preference update,Same update without qualification,2003,2013-04-30,7,3.515358557834493,2.5580655579742433,0.9572929998602493,-2.4829693091640506,0,0,0
No preference update,Equal-total shadow,2003,2013-04-30,7,3.739643172167342,2.611632364718981,1.128010807448361,-2.429761818450791,0,0,0
No preference update,No feedback,2003,2013-05-01,7,3.9916619445897243,3.012100461127407,0.9795614834623175,-2.0755418242683756,0,0,0
No preference update,ECF,2003,2013-05-01,7,3.991661944589724,3.0121004611274067,0.9795614834623175,-2.0755418242684853,0,0,0
No preference update,Same update without qualification,2003,2013-05-01,7,3.7040669621698883,2.9089143074559187,0.7951526547139696,-2.1776618034534736,0,0,0
No preference update,Equal-total shadow,2003,2013-05-01,7,3.991661944589724,3.0121004611274067,0.9795614834623175,-2.0755418242685604,0,0,0
No preference update,No feedback,2003,2013-05-06,8,3.648562200506182,2.889156579049062,0.7594056214571202,-2.680306342809421,0,0,0
No preference update,ECF,2003,2013-05-06,8,3.6618485239462517,2.9010362930588744,0.760812230887377,-2.668469284617235,3,0,0
No preference update,Same update without qualification,2003,2013-05-06,8,3.521110202635873,2.8142913410753767,0.7068188615604964,-2.754343349115235,0,0,0
No preference update,Equal-total shadow,2003,2013-05-06,8,3.648563648237409,2.8891576062016364,0.7594060420357726,-2.680305365668148,0,0,0
No preference update,No feedback,2003,2013-05-07,8,3.8767951385447756,2.86893642478767,1.007858713757105,-2.6496637125809057,0,0,0
No preference update,ECF,2003,2013-05-07,8,3.9066902820901928,2.9094134265198086,0.997276855570384,-2.6095822601810923,3,0,0
No preference update,Same update without qualification,2003,2013-05-07,8,3.8534603852028986,2.8866933649949162,0.9667670202079822,-2.6320597501118583,0,0,0
No preference update,Equal-total shadow,2003,2013-05-07,8,3.8768138967101384,2.8689534678494,1.0078604288607387,-2.6496469000450054,0,0,0
No preference update,No feedback,2003,2013-05-08,8,3.771361046938541,2.8087415016625616,0.9626195452759787,-2.609993701467989,0,0,0
No preference update,ECF,2003,2013-05-08,8,3.770868043534259,2.820782451662935,0.9500855918713244,-2.598089832505008,7,0,0
No preference update,Same update without qualification,2003,2013-05-08,8,3.592096721772096,2.7962109057006703,0.7958858160714254,-2.622500914786759,0,0,0
No preference update,Equal-total shadow,2003,2013-05-08,8,3.771347141606099,2.808727664484698,0.9626194771214012,-2.610007392042771,0,0,0
No preference update,No feedback,2003,2013-05-09,8,3.7349865689953474,2.883314366552821,0.8516722024425264,-2.4628039143528446,0,0,0
No preference update,ECF,2003,2013-05-09,8,3.733342921249399,2.884825835350353,0.8485170858990457,-2.461209355342766,5,0,0
No preference update,Same update without qualification,2003,2013-05-09,8,3.525642147042346,2.8038028737662892,0.7218392732760563,-2.5411675207555184,0,0,0
No preference update,Equal-total shadow,2003,2013-05-09,8,3.7349947425661054,2.8833227323683457,0.8516720101977598,-2.4627956625379537,0,0,0
No preference update,No feedback,2003,2013-05-10,8,3.7369707437544855,2.886401844791034,0.850568898963451,-2.3445389376180903,0,0,0
No preference update,ECF,2003,2013-05-10,8,3.7325228005470406,2.8823909249097,0.8501318756373402,-2.3484438987974467,4,0,0
No preference update,Same update without qualification,2003,2013-05-10,8,3.553699661730171,2.785349782411908,0.7683498793182635,-2.4443326826412908,0,0,0
No preference update,Equal-total shadow,2003,2013-05-10,8,3.7369805253984634,2.8864122505562166,0.8505682748422465,-2.344528673544921,0,0,0
No preference update,No feedback,2003,2013-05-11,8,3.782249704950396,2.371606392900625,1.410643312049771,-3.268647651297902,0,0,0
No preference update,ECF,2003,2013-05-11,8,4.077151058960006,2.6185686669624815,1.458582391997525,-3.024322328748745,8,0,0
No preference update,Same update without qualification,2003,2013-05-11,8,3.9393092265259426,2.6409987979584018,1.2983104285675413,-3.0020732741470857,0,0,0
No preference update,Equal-total shadow,2003,2013-05-11,8,3.7822215748253614,2.371586373432584,1.4106352013927776,-3.2686674912558424,0,0,0
No preference update,No feedback,2003,2013-05-12,8,4.302210309180228,3.2381684449213592,1.0640418642588678,-2.328273924014459,0,0,0
No preference update,ECF,2003,2013-05-12,8,4.31914743431255,3.252825964406892,1.0663214699056578,-2.3137886821843194,5,0,0
