Setting,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
PV150,2013-05-21,Equal-total control,2.930268657676847,4.03088799357584,1.1006193358989935,-3.289725090062534,0
PV150,2013-05-21,No feedback,2.9302607487365337,4.030879918637365,1.1006191699008316,-3.289732920024134,0
PV150,2013-05-21,Previous-day persistence,2.3497570647146215,2.4492427372897683,0.09948567257514605,-3.8662605411885,0
PV150,2013-05-22,ECF,2.2709619230077642,4.04802087991631,1.777058956908546,-4.911771721478636,6
PV150,2013-05-22,Equal-total control,2.2532335164127617,4.030149186193101,1.776915669780339,-4.929349454267038,0
PV150,2013-05-22,No feedback,2.253232653314617,4.03015041786205,1.7769177645474326,-4.929350281094946,0
PV150,2013-05-22,Previous-day persistence,1.9359384911464943,2.658427112112996,0.7224886209665013,-5.244601139957705,0
PV150,2013-05-23,ECF,2.1437893064825397,4.44217278170904,2.2983834752265,-5.12641303683026,6
PV150,2013-05-23,Equal-total control,2.123428785533369,4.36789101306538,2.2444622275320105,-5.146661031217473,0
PV150,2013-05-23,No feedback,2.1234316826852506,4.367898119836888,2.244466437151637,-5.146658164863189,0
PV150,2013-05-23,Previous-day persistence,1.5985618583067254,2.1700449403997792,0.5714830820930539,-5.669554519040196,0
PV150,2013-05-24,ECF,3.124694750774249,4.567780508227059,1.4430857574528093,-3.672512812271716,7
PV150,2013-05-24,Equal-total control,3.1207979444908616,4.57408833868895,1.4532903941980888,-3.6763559878013687,0
PV150,2013-05-24,No feedback,3.12082067228776,4.5741126177792975,1.4532919454915378,-3.6763335287023757,0
PV150,2013-05-24,Previous-day persistence,1.9905068389543308,2.1819338807924256,0.1914270418380952,-4.800012751894985,0
PV150,2013-05-25,ECF,2.8559979724524496,4.080719399930275,1.2247214274778246,-3.7770264115498304,4
PV150,2013-05-25,Equal-total control,2.8493207929097943,4.076759065812618,1.2274382729028235,-3.7836310439845144,0
PV150,2013-05-25,No feedback,2.8493099304334826,4.076748030191629,1.2274380997581464,-3.783641776133724,0
PV150,2013-05-25,Previous-day persistence,2.2227703157797842,2.3184292932717145,0.0956589774919307,-4.406274389038283,0
PV150,2013-05-26,ECF,2.935227058211174,4.022552888341203,1.0873258301300286,-3.8236143286821127,4
PV150,2013-05-26,Equal-total control,2.935033130779324,4.024747356402561,1.0897142256232377,-3.8238283324332913,0
PV150,2013-05-26,No feedback,2.9350566803092137,4.024771651805122,1.089714971495909,-3.823805054858326,0
PV150,2013-05-26,Previous-day persistence,2.3221647283597826,2.355051824734898,0.032887096375115464,-4.432629339860183,0
