Setting,Date,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
R05_POS_LOWER_BOUND,2013-01-05,4.344325675551028,4.505877953838943,0.16155227828791485
R05_POS_LOWER_BOUND,2013-01-06,4.468393305207172,4.624492454354442,0.15609914914726986
R05_POS_LOWER_BOUND,2013-01-07,4.131671679158757,4.427471925593407,0.2958002464346503
R05_POS_LOWER_BOUND,2013-01-08,3.6985092936952992,4.023300969795377,0.324791676100078
R05_POS_LOWER_BOUND,2013-01-12,3.8590138230321074,4.343967040553272,0.4849532175211646
R05_POS_LOWER_BOUND,2013-01-13,2.8304855798796513,4.208577154206851,1.3780915743271995
R05_POS_LOWER_BOUND,2013-01-14,3.873606160949856,4.535824527939616,0.6622183669897601
R05_POS_LOWER_BOUND,2013-01-15,4.182139403539512,4.40534923864223,0.2232098351027174
R05_POS_LOWER_BOUND,2013-01-16,4.11276889768482,4.414996058418229,0.30222716073340905
R05_POS_LOWER_BOUND,2013-01-17,4.235812319450715,4.619645466795627,0.38383314734491236
R05_POS_LOWER_BOUND,2013-01-18,3.9129916259406667,4.461458670274538,0.5484670443338708
R05_POS_LOWER_BOUND,2013-01-19,3.3223572326559907,4.278950256275633,0.956593023619642
R05_POS_LOWER_BOUND,2013-01-20,2.6504788650969227,3.9223083019375413,1.2718294368406187
R05_POS_LOWER_BOUND,2013-01-21,4.153372556448698,4.478404605012333,0.3250320485636351
R05_POS_LOWER_BOUND,2013-01-22,3.0888440124197474,3.8730402440946543,0.7841962316749069
R05_POS_LOWER_BOUND,2013-01-23,3.5176325953102134,4.239567600796005,0.7219350054857916
R05_POS_LOWER_BOUND,2013-01-24,4.167295044691503,4.628029241795328,0.46073419710382524
R05_POS_LOWER_BOUND,2013-01-25,3.970718729771477,4.22489655098696,0.25417782121548305
R05_POS_LOWER_BOUND,2013-04-02,3.355827515648575,3.910936645604844,0.5551091299562692
R05_POS_LOWER_BOUND,2013-04-03,2.145522834121108,4.132255499119155,1.9867326649980468
R05_POS_LOWER_BOUND,2013-04-04,2.947024449744256,4.271731209229915,1.3247067594856592
R05_POS_LOWER_BOUND,2013-04-09,3.0304790140285602,4.0312189160526515,1.0007399020240912
R05_POS_LOWER_BOUND,2013-04-10,3.8216965282751847,4.480387611006782,0.6586910827315977
R05_POS_LOWER_BOUND,2013-04-14,3.4071875431884706,4.044738783827964,0.6375512406394934
R05_POS_LOWER_BOUND,2013-04-15,3.3058494841013473,4.1029290848820335,0.7970796007806862
R05_POS_LOWER_BOUND,2013-04-22,2.796195206559224,4.00278991242179,1.2065947058625657
R05_POS_LOWER_BOUND,2013-04-28,3.1774090245621434,3.9016119150029835,0.7242028904408402
R05_POS_LOWER_BOUND,2013-04-29,3.217960258865189,3.9792281179844715,0.7612678591192825
R05_POS_LOWER_BOUND,2013-04-30,2.7938738891575756,3.89928295880501,1.1054090696474344
R05_POS_LOWER_BOUND,2013-05-01,3.1458078002416063,4.229093534382697,1.0832857341410906
R05_POS_LOWER_BOUND,2013-05-06,3.0072618985709143,3.8128300071120687,0.8055681085411543
R05_POS_LOWER_BOUND,2013-05-07,2.937874395735607,4.012431380937804,1.0745569852021974
R05_POS_LOWER_BOUND,2013-05-08,3.0701908317144744,4.153243776995137,1.083052945280663
R05_POS_LOWER_BOUND,2013-05-09,3.1084792565059414,4.09558898845983,0.9871097319538884
R05_POS_LOWER_BOUND,2013-05-10,3.0073908215361853,3.878842338047078,0.8714515165108927
R05_POS_LOWER_BOUND,2013-05-11,2.833855143456839,4.333255330807706,1.4994001873508669
R05_POS_LOWER_BOUND,2013-05-12,3.4233652771545273,4.625582512320058,1.2022172351655307
R05_POS_LOWER_BOUND,2013-05-16,2.995882884476934,4.0198753109036724,1.0239924264267386
R05_POS_LOWER_BOUND,2013-05-17,2.9405944840812612,3.8699851021874214,0.9293906181061602
R05_POS_LOWER_BOUND,2013-05-18,2.9271341553348544,3.849922403597369,0.9227882482625147
R05_POS_LOWER_BOUND,2013-05-19,2.8916984915046653,3.8454931161152133,0.953794624610548
R05_POS_LOWER_BOUND,2013-05-20,2.810609263625845,3.7510927039501376,0.9404834403242925
R05_POS_LOWER_BOUND,2013-05-21,2.8238063241157314,3.8651932660770028,1.0413869419612714
R05_POS_LOWER_BOUND,2013-05-22,2.0069057263870436,3.9785783571430406,1.971672630755997
